ProductName,Price,DiscountPrice,Image_Url
Onion (Loose),69.75,52,https://www.bigbasket.com/media/uploads/p/l/40075537_5-fresho-onion.jpg
Onion,174.35,130,https://www.bigbasket.com/media/uploads/p/l/1201414_1-fresho-onion.jpg
Onion (Loose),34.87,26,https://www.bigbasket.com/media/uploads/p/l/10000148_30-fresho-onion.jpg
Onion,69.74,52,https://www.bigbasket.com/media/uploads/p/l/1201413_1-fresho-onion.jpg
Onion (Loose),174.37,129,https://www.bigbasket.com/media/uploads/p/l/10000150_19-fresho-onion.jpg
"Farm Eggs - Table Tray, Medium, Antibiotic Residue-Free",110,78,https://www.bigbasket.com/media/uploads/p/l/40072320_2-fresho-farm-eggs-table-tray-medium-antibiotic-residue-free.jpg
"Farm Eggs - Table Tray, Medium, Antibiotic Residue-Free",210,181,https://www.bigbasket.com/media/uploads/p/l/150502_6-fresho-farm-eggs-table-tray-medium-antibiotic-residue-free.jpg
Potato (Loose),50.32,38.75,https://www.bigbasket.com/media/uploads/p/l/40048457_9-fresho-potato-new-crop.jpg
Potato,100.65,77.5,https://www.bigbasket.com/media/uploads/p/l/40162469_6-fresho-potato-new-crop.jpg
Eggs - Regular,250,250,https://www.bigbasket.com/media/uploads/p/l/1205938_1-fresho-eggs-regular.jpg
"Farm Eggs - Regular, Medium, Antibiotic Residue-Free",50,38,https://www.bigbasket.com/media/uploads/p/l/281204_9-fresho-farm-eggs-regular-medium-antibiotic-residue-free.jpg
Eggs - Regular,100,76,https://www.bigbasket.com/media/uploads/p/l/1203477_2-fresho-eggs-regular.jpg
Eggs - Regular,200,200,https://www.bigbasket.com/media/uploads/p/l/1205933_1-fresho-eggs-regular.jpg
Atta/Godihittu - Whole Wheat,119,118,https://www.bigbasket.com/media/uploads/p/l/161826_8-aashirvaad-atta-whole-wheat.jpg
Atta/Godihittu - Whole Wheat,301,292,https://www.bigbasket.com/media/uploads/p/l/126903_9-aashirvaad-atta-whole-wheat.jpg
Atta/Godihittu - Whole Wheat,65,63,https://www.bigbasket.com/media/uploads/p/l/30006887_7-aashirvaad-atta-whole-wheat.jpg
